年,男女別,総数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100歳以上
昭和50年,総数,2621771,49110,52346,54011,52647,51793,49624,48343,45621,45178,35377,41563,37509,35234,33380,31781,30965,30237,29153,33286,40513,42285,42012,44246,48370,52999,58727,64887,66261,64397,41207,45538,55374,54962,55645,53867,49628,42934,44358,44948,45282,43615,39929,40614,38136,37302,35137,33719,32252,30725,29785,28076,24197,22408,21111,20350,20577,17020,16874,16864,16944,16639,16458,15002,14381,13426,12805,11940,11067,10360,8700,8726,7927,7975,7154,6847,5906,5131,4617,4202,3467,3045,2631,2095,1791,1364,1259,1051,774,563,400,318,223,137,97,83,34,30,18,7,7,5
昭和50年,男,1349001,25120,26752,27814,26998,26163,25404,24913,23569,23134,17997,21337,19168,18121,16989,16267,15820,15751,15309,18072,22902,24399,24300,25278,27156,29338,31584,34052,34021,33202,21194,23264,28233,28175,28457,27673,25709,22431,23367,23494,23552,22796,20796,21178,19832,19420,18257,17594,17015,16244,15424,14420,12112,10660,9794,9425,9522,7854,7999,8063,8208,8127,7984,7167,6849,6399,6003,5478,5152,4855,4080,4001,3635,3580,3108,2944,2415,2125,1934,1725,1328,1226,986,728,696,497,440,355,245,166,111,97,55,41,22,27,7,7,8,1,0,1
昭和50年,女,1272770,23990,25594,26197,25649,25630,24220,23430,22052,22044,17380,20226,18341,17113,16391,15514,15145,14486,13844,15214,17611,17886,17712,18968,21214,23661,27143,30835,32240,31195,20013,22274,27141,26787,27188,26194,23919,20503,20991,21454,21730,20819,19133,19436,18304,17882,16880,16125,15237,14481,14361,13656,12085,11748,11317,10925,11055,9166,8875,8801,8736,8512,8474,7835,7532,7027,6802,6462,5915,5505,4620,4725,4292,4395,4046,3903,3491,3006,2683,2477,2139,1819,1645,1367,1095,867,819,696,529,397,289,221,168,96,75,56,27,23,10,6,7,4
昭和51年,総数,2629671,47675,51838,53882,52695,51815,50545,47819,46450,46998,33338,42692,38539,35451,33728,32187,31151,30039,29841,30969,40087,42037,42117,43521,47804,51718,56987,65717,65603,66527,45631,43318,52235,56784,53882,54890,51011,44178,42387,46575,43908,45460,39549,40754,39142,37260,35598,33715,33199,30484,29820,28977,25002,22937,20957,20920,20039,18101,16521,16939,16779,16696,16547,15355,14386,13665,13004,12118,10944,11000,8054,9215,7983,7865,7404,6840,5971,5398,4590,4314,3480,3105,2683,2162,1835,1351,1293,1042,791,569,428,327,233,157,85,83,36,30,16,7,6,5
昭和51年,男,1351749,24473,26432,27713,26996,26407,25698,24646,23963,24094,17025,21829,19772,18182,17221,16411,15943,15630,15576,16563,22648,24210,24392,24734,26701,28532,30684,34454,33764,34286,23444,22167,26576,29123,27499,28069,26312,23008,22449,24201,22902,23761,20611,21148,20490,19238,18712,17393,17493,16021,15681,14835,12648,11002,9717,9677,9240,8416,7798,8049,8081,8138,8060,7389,6799,6554,6088,5549,5166,5005,3940,4126,3688,3518,3235,2945,2442,2235,1910,1758,1353,1239,1023,748,686,509,441,363,244,156,120,100,61,49,18,24,9,5,8,2,1,1
昭和51年,女,1277922,23202,25406,26169,25699,25408,24847,23173,22487,22904,16313,20863,18767,17269,16507,15776,15208,14409,14265,14406,17439,17827,17725,18787,21103,23186,26303,31263,31839,32241,22187,21151,25659,27661,26383,26821,24699,21170,19938,22374,21006,21699,18938,19606,18652,18022,16886,16322,15706,14463,14139,14142,12354,11935,11240,11243,10799,9685,8723,8890,8698,8558,8487,7966,7587,7111,6916,6569,5778,5995,4114,5089,4295,4347,4169,3895,3529,3163,2680,2556,2127,1866,1660,1414,1149,842,852,679,547,413,308,227,172,108,67,59,27,25,8,5,5,4
昭和52年,総数,2668765,45800,46775,50976,52993,51899,51314,49795,47451,46119,46505,33155,42540,38442,35442,33695,32399,31767,30171,31790,35748,40458,42261,42275,44332,48811,52642,57635,66160,65414,66496,45274,42928,51742,56295,53278,54336,50533,43708,42185,46375,43702,45322,39506,40684,39105,37214,35585,33628,33138,30462,29761,28906,24932,22854,20924,20815,19938,17988,16449,16817,16657,16556,16339,15188,14170,13472,12775,11970,10714,10743,7869,8960,7769,7613,7121,6609,5668,5143,4324,4026,3240,2858,2431,1964,1630,1170,1099,886,682,480,368,267,165,127,69,65,20,15,13,4,6
昭和52年,男,1369844,23472,23967,26002,27259,26593,26125,25370,24439,23773,23839,16964,21714,19695,18171,17217,16607,16481,15696,16667,19322,23028,24413,24300,24949,26885,28603,30713,34392,33688,34195,23279,22016,26277,28839,27150,27707,26021,22712,22316,24012,22726,23630,20538,21074,20445,19180,18672,17293,17461,16009,15606,14796,12605,10929,9693,9625,9179,8332,7748,7971,8005,8004,7942,7277,6672,6433,5949,5436,5027,4852,3812,3978,3556,3370,3075,2818,2274,2089,1751,1595,1245,1120,893,659,592,434,363,293,212,128,106,75,39,43,12,15,7,1,6,1,1
昭和52年,女,1298921,22328,22808,24974,25734,25306,25189,24425,23012,22346,22666,16191,20826,18747,17271,16478,15792,15286,14475,15123,16426,17430,17848,17975,19383,21926,24039,26922,31768,31726,32301,21995,20912,25465,27456,26128,26629,24512,20996,19869,22363,20976,21692,18968,19610,18660,18034,16913,16335,15677,14453,14155,14110,12327,11925,11231,11190,10759,9656,8701,8846,8652,8552,8397,7911,7498,7039,6826,6534,5687,5891,4057,4982,4213,4243,4046,3791,3394,3054,2573,2431,1995,1738,1538,1305,1038,736,736,593,470,352,262,192,126,84,57,50,13,14,7,3,5
昭和53年,総数,2705334,43371,45036,45940,50215,52260,51312,50725,49331,46902,45676,46231,32931,42346,38314,35342,33837,32831,31882,32462,37631,36174,40789,42585,43435,45398,49928,53105,57895,66029,65150,66221,44756,42597,51247,55585,52740,53641,50089,43286,41845,45973,43452,45177,39346,40591,38963,37252,35476,33535,33034,30418,29707,28881,24853,22765,20861,20735,19806,17911,16339,16702,16504,16421,16161,15000,14012,13225,12549,11783,10492,10547,7714,8648,7509,7400,6860,6314,5399,4887,4059,3733,2975,2600,2181,1734,1418,1005,944,736,567,383,276,201,125,102,48,50,18,12,11,8
